00:25:55.681:DEBUG:exporter: got next (rank 151), qsize 0, len(players) = 44
00:25:55.699:DEBUG:exporter: got next (rank 152), qsize 2, len(players) = 45
00:25:55.700:DEBUG:exporter: got next (rank 153), qsize 1, len(players) = 46
00:25:55.700:DEBUG:exporter: got next (rank 154), qsize 0, len(players) = 47
00:25:55.797:DEBUG:exporter: got next (rank 155), qsize 0, len(players) = 48
00:25:55.848:DEBUG:exporter: got next (rank 156), qsize 0, len(players) = 49
00:25:55.901:DEBUG:exported 50 documents: (ranks 107-156)
00:25:55.901:DEBUG:exporter: got next (rank 157), qsize 1, len(players) = 0
00:25:55.901:DEBUG:exporter: got next (rank 158), qsize 0, len(players) = 1
00:25:55.948:DEBUG:exporter: got next (rank 159), qsize 0, len(players) = 2
00:25:56.005:DEBUG:exporter: got next (rank 160), qsize 5, len(players) = 3
00:25:56.006:DEBUG:exporter: got next (rank 161), qsize 4, len(players) = 4
00:25:56.006:DEBUG:exporter: got next (rank 162), qsize 3, len(players) = 5
00:25:56.006:DEBUG:exporter: got next (rank 163), qsize 2, len(players) = 6
00:25:56.006:DEBUG:exporter: got next (rank 164), qsize 1, len(players) = 7
00:25:56.007:DEBUG:exporter: got next (rank 165), qsize 0, len(players) = 8
00:25:56.157:DEBUG:exporter: got next (rank 166), qsize 3, len(players) = 9
00:25:56.158:DEBUG:exporter: got next (rank 167), qsize 3, len(players) = 10
00:25:56.158:DEBUG:exporter: got next (rank 168), qsize 2, len(players) = 11
00:25:56.158:DEBUG:exporter: got next (rank 169), qsize 1, len(players) = 12
00:25:56.158:DEBUG:exporter: got next (rank 170), qsize 0, len(players) = 13
00:25:56.201:DEBUG:exporter: got next (rank 171), qsize 0, len(players) = 14
00:25:56.387:DEBUG:exporter: got next (rank 172), qsize 2, len(players) = 15
00:25:56.388:DEBUG:exporter: got next (rank 173), qsize 1, len(players) = 16
00:25:56.389:DEBUG:exporter: got next (rank 174), qsize 0, len(players) = 17
00:25:56.442:DEBUG:exporter: got next (rank 175), qsize 6, len(players) = 18
00:25:56.443:DEBUG:exporter: got next (rank 176), qsize 5, len(players) = 19
00:25:56.443:DEBUG:exporter: got next (rank 177), qsize 4, len(players) = 20
00:25:56.443:DEBUG:exporter: got next (rank 178), qsize 3, len(players) = 21
00:25:56.444:DEBUG:exporter: got next (rank 179), qsize 2, len(players) = 22
00:25:56.444:DEBUG:exporter: got next (rank 180), qsize 1, len(players) = 23
00:25:56.444:DEBUG:exporter: got next (rank 181), qsize 0, len(players) = 24
00:25:56.621:DEBUG:exporter: got next (rank 182), qsize 0, len(players) = 25
00:25:56.625:DEBUG:exporter: got next (rank 183), qsize 3, len(players) = 26
00:25:56.625:DEBUG:exporter: got next (rank 184), qsize 2, len(players) = 27
00:25:56.625:DEBUG:exporter: got next (rank 185), qsize 1, len(players) = 28
00:25:56.625:DEBUG:exporter: got next (rank 186), qsize 0, len(players) = 29
00:25:56.677:DEBUG:exporter: got next (rank 187), qsize 0, len(players) = 30
00:25:56.778:DEBUG:exporter: got next (rank 188), qsize 0, len(players) = 31
00:25:56.828:DEBUG:exporter: got next (rank 189), qsize 1, len(players) = 32
00:25:56.831:DEBUG:exporter: got next (rank 190), qsize 0, len(players) = 33
00:25:56.888:DEBUG:exporter: got next (rank 191), qsize 1, len(players) = 34
00:25:56.889:DEBUG:exporter: got next (rank 192), qsize 0, len(players) = 35
00:25:56.928:DEBUG:exporter: got next (rank 193), qsize 3, len(players) = 36
00:25:56.931:DEBUG:exporter: got next (rank 194), qsize 2, len(players) = 37
00:25:56.932:DEBUG:exporter: got next (rank 195), qsize 1, len(players) = 38
00:25:56.933:DEBUG:exporter: got next (rank 196), qsize 0, len(players) = 39
00:25:56.973:DEBUG:exporter: got next (rank 197), qsize 0, len(players) = 40
00:25:57.024:DEBUG:exporter: got next (rank 198), qsize 0, len(players) = 41
00:25:57.089:DEBUG:exporter: got next (rank 199), qsize 3, len(players) = 42
